Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p
group_14574,,hypothetical protein,44,4,105,124,29.53020134,96.875,12.99047619,9.19E-10,1.28E-05,7.27E-08,3,1,3,0.25,1
group_2861,,hypothetical protein,137,79,12,49,91.94630872,38.28125,7.081223629,9.66E-10,1.35E-05,7.60E-08,10,7,4,0.34375,0.75390625
group_3795,,hypothetical protein,149,103,0,25,100,19.53125,inf,1.03E-09,1.44E-05,7.94E-08,9,9,0,0.00390625,0.00390625
group_2163,,hypothetical protein,0,25,149,103,0,80.46875,0,1.03E-09,1.44E-05,7.94E-08,10,0,10,0.001953125,0.001953125
group_3917,,hypothetical protein,0,25,149,103,0,80.46875,0,1.03E-09,1.44E-05,7.94E-08,9,0,9,0.00390625,0.00390625
group_3918,,hypothetical protein,0,25,149,103,0,80.46875,0,1.03E-09,1.44E-05,7.94E-08,9,0,9,0.00390625,0.00390625
ilvX,,Putative acetolactate synthase large subunit IlvX,147,97,2,31,98.65771812,24.21875,23.48969072,1.09E-09,1.52E-05,8.12E-08,12,12,1,0.000488281,0.006347656
group_852,,hypothetical protein,147,97,2,31,98.65771812,24.21875,23.48969072,1.09E-09,1.52E-05,8.12E-08,10,10,1,0.001953125,0.021484375
group_3085,,HTH-type transcriptional regulator,2,31,147,97,1.342281879,75.78125,0.042571867,1.09E-09,1.52E-05,8.12E-08,7,1,7,0.015625,0.125
group_3086,,hypothetical protein,2,31,147,97,1.342281879,75.78125,0.042571867,1.09E-09,1.52E-05,8.12E-08,7,1,7,0.015625,0.125
acrC,,Acryloyl-CoA reductase (NADH),2,31,147,97,1.342281879,75.78125,0.042571867,1.09E-09,1.52E-05,8.12E-08,7,1,7,0.015625,0.125
group_4005,,hypothetical protein,2,31,147,97,1.342281879,75.78125,0.042571867,1.09E-09,1.52E-05,8.12E-08,10,2,9,0.021484375,0.109375
group_266,,PE-PGRS family protein PE_PGRS33,10,46,139,82,6.711409396,64.0625,0.12824523,1.22E-09,1.71E-05,9.06E-08,11,2,10,0.01171875,0.065429687
group_945,,hypothetical protein,1,28,148,100,0.67114094,78.125,0.024131274,1.23E-09,1.71E-05,9.06E-08,9,1,8,0.0390625,0.0390625
group_2120,,Diterpene synthase,149,104,0,24,100,18.75,inf,2.51E-09,3.50E-05,1.79E-07,8,8,0,0.0078125,0.0078125
budC,,Diacetyl reductase [(S)-acetoin forming],2,30,147,98,1.342281879,76.5625,0.044444444,2.51E-09,3.50E-05,1.79E-07,7,1,7,0.015625,0.125
group_3993,,hypothetical protein,2,30,147,98,1.342281879,76.5625,0.044444444,2.51E-09,3.50E-05,1.79E-07,7,1,7,0.015625,0.125
tpx,,Thiol peroxidase,2,30,147,98,1.342281879,76.5625,0.044444444,2.51E-09,3.50E-05,1.79E-07,7,1,7,0.015625,0.125
group_3995,,Putative acyl-CoA dehydrogenase FadE17,2,30,147,98,1.342281879,76.5625,0.044444444,2.51E-09,3.50E-05,1.79E-07,7,1,7,0.015625,0.125
group_3996,,Putative enoyl-CoA hydratase EchA13,2,30,147,98,1.342281879,76.5625,0.044444444,2.51E-09,3.50E-05,1.79E-07,7,1,7,0.015625,0.125
group_264,,putative PPE family protein PPE40,10,45,139,83,6.711409396,64.84375,0.132693845,2.62E-09,3.65E-05,1.86E-07,11,4,9,0.065429687,0.548828125
group_1575,,hypothetical protein,102,42,47,86,68.45637584,67.1875,4.443768997,2.92E-09,4.06E-05,2.06E-07,12,11,3,0.006347656,0.145996094
group_3111,,hypothetical protein,1,27,148,101,0.67114094,78.90625,0.025275275,2.93E-09,4.08E-05,2.06E-07,9,1,8,0.0390625,0.0390625
group_15448,,hypothetical protein,42,4,107,124,28.18791946,96.875,12.1682243,3.75E-09,5.23E-05,2.62E-07,3,1,3,0.25,1
group_3801,,putative PE-PGRS family protein PE_PGRS24,42,4,107,124,28.18791946,96.875,12.1682243,3.75E-09,5.23E-05,2.62E-07,3,1,3,0.25,1
group_1224,,hypothetical protein,66,16,83,112,44.29530201,87.5,5.56626506,3.97E-09,5.53E-05,2.75E-07,13,11,3,0.022460938,0.092285156
group_847,,hypothetical protein,57,11,92,117,38.25503356,91.40625,6.589920949,4.49E-09,6.26E-05,3.10E-07,10,6,7,0.34375,0.75390625
group_3088,,hypothetical protein,1,26,148,102,0.67114094,79.6875,0.026507277,6.93E-09,9.65E-05,4.75E-07,9,1,8,0.0390625,0.0390625
group_1354,PE3_2,PE family protein PE3,5,35,144,93,3.355704698,72.65625,0.092261905,7.47E-09,0.000104064,5.08E-07,11,2,11,0.000976563,0.065429687
group_3929,,hypothetical protein,5,35,144,93,3.355704698,72.65625,0.092261905,7.47E-09,0.000104064,5.08E-07,11,2,11,0.000976563,0.065429687
group_544,,hypothetical protein,12,47,137,81,8.053691275,63.28125,0.150955117,7.67E-09,0.000106841,5.19E-07,13,7,8,0.581054688,1
group_3923,,hypothetical protein,14,49,135,79,9.395973154,61.71875,0.167195767,9.52E-09,0.000132593,6.41E-07,13,4,11,0.022460938,0.266845703
group_1571,,hypothetical protein,136,81,13,47,91.27516779,36.71875,6.070275404,1.38E-08,0.000192481,9.25E-07,11,10,2,0.01171875,0.065429687
group_151,,hypothetical protein,40,4,109,124,26.84563758,96.875,11.37614679,1.51E-08,0.000209724,1.00E-06,9,7,4,0.1796875,1
group_616,,hypothetical protein,35,2,114,126,23.48993289,98.4375,19.34210526,1.56E-08,0.000217649,1.04E-06,5,4,2,0.375,1
group_2147,,hypothetical protein,1,25,148,103,0.67114094,80.46875,0.027837838,1.63E-08,0.000226744,1.07E-06,10,1,10,0.001953125,0.021484375
PE3_1,,PE family protein PE3,144,94,5,34,96.6442953,26.5625,10.41702128,1.64E-08,0.000228292,1.07E-06,11,11,2,0.000976563,0.065429687
group_742,,Putative diacyglycerol O-acyltransferase,144,94,5,34,96.6442953,26.5625,10.41702128,1.64E-08,0.000228292,1.07E-06,11,9,5,0.065429687,1
group_4180,,hypothetical protein,6,36,143,92,4.026845638,71.875,0.107226107,1.65E-08,0.000229812,1.07E-06,12,3,11,0.006347656,0.145996094
group_694,pknG,Serine/threonine-protein kinase PknG,2,27,147,101,1.342281879,78.90625,0.050894432,2.97E-08,0.000413697,1.92E-06,11,2,10,0.01171875,0.065429687
group_2417,,tRNA-Pro(ggg),140,88,9,40,93.95973154,31.25,7.070707071,3.11E-08,0.000433311,2.01E-06,8,7,2,0.0703125,0.2890625
group_3782,,hypothetical protein,149,107,0,21,100,16.40625,inf,3.49E-08,0.000486634,2.21E-06,10,10,0,0.001953125,0.001953125
group_2162,,hypothetical protein,0,21,149,107,0,83.59375,0,3.49E-08,0.000486634,2.21E-06,9,0,9,0.00390625,0.00390625
group_3093,,hypothetical protein,0,21,149,107,0,83.59375,0,3.49E-08,0.000486634,2.21E-06,9,0,9,0.00390625,0.00390625
group_4003,,hypothetical protein,0,21,149,107,0,83.59375,0,3.49E-08,0.000486634,2.21E-06,10,0,10,0.001953125,0.001953125
group_107,,hypothetical protein,144,95,5,33,96.6442953,25.78125,10.00421053,3.56E-08,0.00049669,2.25E-06,8,7,2,0.0703125,0.2890625
group_3026,,hypothetical protein,108,123,41,5,72.48322148,3.90625,0.10707912,3.69E-08,0.000514123,2.32E-06,7,5,4,0.453125,1
group_924,,PE-PGRS family protein PE_PGRS26,148,104,1,24,99.32885906,18.75,34.15384615,3.80E-08,0.000528972,2.36E-06,9,9,1,0.00390625,0.0390625
group_620,,hypothetical protein,1,24,148,104,0.67114094,81.25,0.029279279,3.80E-08,0.000528972,2.36E-06,9,1,9,0.00390625,0.0390625
group_3926,,hypothetical protein,14,47,135,81,9.395973154,63.28125,0.178723404,4.03E-08,0.000561036,2.49E-06,11,4,9,0.065429687,0.548828125
group_930,,hypothetical protein,57,13,92,115,38.25503356,89.84375,5.480769231,4.24E-08,0.000590721,2.61E-06,10,6,5,0.75390625,1
group_483,,hypothetical protein,21,56,128,72,14.09395973,56.25,0.2109375,4.55E-08,0.000633734,2.79E-06,12,2,12,0.000488281,0.038574219
group_3094,,hypothetical protein,9,39,140,89,6.040268456,69.53125,0.146703297,6.49E-08,0.000904832,3.97E-06,10,1,10,0.001953125,0.021484375
group_831,,PE-PGRS family protein PE_PGRS11,147,102,2,26,98.65771812,20.3125,18.73529412,6.68E-08,0.000930673,4.05E-06,10,8,2,0.109375,0.109375
group_830,,PE-PGRS family protein PE_PGRS11,2,26,147,102,1.342281879,79.6875,0.053375196,6.68E-08,0.000930673,4.05E-06,11,2,9,0.065429687,0.065429687
group_2153,,hypothetical protein,29,1,120,127,19.46308725,99.21875,30.69166667,7.24E-08,0.001008862,4.37E-06,6,5,1,0.21875,0.21875
group_174,,hypothetical protein,32,2,117,126,21.47651007,98.4375,17.23076923,7.52E-08,0.001048443,4.52E-06,4,2,2,1,1
group_3863,,PE-PGRS family protein PE_PGRS17,98,118,51,10,65.77181208,7.8125,0.162844799,7.92E-08,0.001103328,4.74E-06,9,3,7,0.1796875,0.5078125
group_1188,,hypothetical protein,149,108,0,20,100,15.625,inf,8.31E-08,0.001158009,4.89E-06,10,10,0,0.001953125,0.001953125
group_1228,,hypothetical protein,0,20,149,108,0,84.375,0,8.31E-08,0.001158009,4.89E-06,11,0,11,0.000976563,0.000976563
group_3059,,hypothetical protein,0,20,149,108,0,84.375,0,8.31E-08,0.001158009,4.89E-06,10,0,10,0.001953125,0.001953125
group_3900,,hypothetical protein,0,20,149,108,0,84.375,0,8.31E-08,0.001158009,4.89E-06,10,0,10,0.001953125,0.001953125
group_4066,,hypothetical protein,1,23,148,105,0.67114094,82.03125,0.030846063,8.79E-08,0.001225304,5.13E-06,9,1,9,0.00390625,0.0390625
group_537,,hypothetical protein,1,23,148,105,0.67114094,82.03125,0.030846063,8.79E-08,0.001225304,5.13E-06,10,1,10,0.001953125,0.021484375
group_3817,,hypothetical protein,91,37,58,91,61.0738255,71.09375,3.858807083,8.86E-08,0.001235289,5.15E-06,12,7,6,0.774414063,1
group_776,,hypothetical protein,125,69,24,59,83.89261745,46.09375,4.453502415,9.08E-08,0.001264863,5.25E-06,12,11,3,0.006347656,0.145996094
group_3771,,hypothetical protein,146,100,3,28,97.98657718,21.875,13.62666667,1.02E-07,0.001415976,5.80E-06,10,10,1,0.001953125,0.021484375
group_4127,,hypothetical protein,3,28,146,100,2.013422819,78.125,0.073385519,1.02E-07,0.001415976,5.80E-06,10,1,10,0.001953125,0.021484375
group_4128,,hypothetical protein,3,28,146,100,2.013422819,78.125,0.073385519,1.02E-07,0.001415976,5.80E-06,10,1,10,0.001953125,0.021484375
group_647,,hypothetical protein,12,43,137,85,8.053691275,66.40625,0.173145476,1.26E-07,0.001755257,7.16E-06,12,2,11,0.006347656,0.038574219
group_4300,,hypothetical protein,4,30,145,98,2.684563758,76.5625,0.090114943,1.42E-07,0.001982412,8.06E-06,12,3,10,0.038574219,0.145996094
group_24,,hypothetical protein,28,1,121,127,18.79194631,99.21875,29.38842975,1.47E-07,0.002050513,8.30E-06,2,1,1,1,1
group_173,,hypothetical protein,0,19,149,109,0,85.15625,0,1.97E-07,0.002740974,1.10E-05,10,0,10,0.001953125,0.001953125
group_2159,,hypothetical protein,0,19,149,109,0,85.15625,0,1.97E-07,0.002740974,1.10E-05,9,0,9,0.00390625,0.00390625
group_3041,,hypothetical protein,0,19,149,109,0,85.15625,0,1.97E-07,0.002740974,1.10E-05,8,0,8,0.0078125,0.0078125
group_1586,,hypothetical protein,9,37,140,91,6.040268456,71.09375,0.158108108,2.75E-07,0.003828763,1.53E-05,12,4,10,0.038574219,0.387695313
mmpS3_1,,putative transport accessory protein MmpS3,145,99,4,29,97.31543624,22.65625,10.61868687,2.95E-07,0.004104124,1.63E-05,11,9,4,0.065429687,0.548828125
group_672,,hypothetical protein,47,80,102,48,31.54362416,37.5,0.276470588,3.16E-07,0.004405374,1.74E-05,12,5,10,0.038574219,0.774414063
group_226,,hypothetical protein,125,71,24,57,83.89261745,44.53125,4.181338028,3.26E-07,0.004541221,1.79E-05,12,9,4,0.145996094,0.387695313
group_4151,,hypothetical protein,1,21,148,107,0.67114094,83.59375,0.034427284,4.62E-07,0.006434593,2.49E-05,10,1,10,0.001953125,0.021484375
menE_5,,Long-chain-fatty-acid--CoA/3-oxocholest-4-en-26-oate--CoA ligase,1,21,148,107,0.67114094,83.59375,0.034427284,4.62E-07,0.006434593,2.49E-05,8,1,8,0.0078125,0.0703125
umaA,,S-adenosylmethionine-dependent methyltransferase UmaA,149,110,0,18,100,14.0625,inf,4.63E-07,0.006453749,2.49E-05,8,8,0,0.0078125,0.0078125
group_13142,,hypothetical protein,0,18,149,110,0,85.9375,0,4.63E-07,0.006453749,2.49E-05,10,0,10,0.001953125,0.001953125
group_3898,,hypothetical protein,0,18,149,110,0,85.9375,0,4.63E-07,0.006453749,2.49E-05,10,0,10,0.001953125,0.001953125
group_4177,,hypothetical protein,3,26,146,102,2.013422819,79.6875,0.08061117,4.67E-07,0.006502335,2.50E-05,10,1,10,0.001953125,0.021484375
group_36,,hypothetical protein,65,20,84,108,43.62416107,84.375,4.178571429,4.94E-07,0.006880483,2.64E-05,13,8,7,0.581054688,1
group_1901,,hypothetical protein,148,108,1,20,99.32885906,15.625,27.40740741,1.05E-06,0.0145855,5.57E-05,10,10,1,0.001953125,0.021484375
group_3767,,hypothetical protein,135,85,14,43,90.60402685,33.59375,4.878151261,1.05E-06,0.014646157,5.57E-05,11,11,1,0.000976563,0.01171875
group_14575,,hypothetical protein,0,17,149,111,0,86.71875,0,1.08E-06,0.015116888,5.62E-05,10,0,10,0.001953125,0.001953125
group_15447,,hypothetical protein,0,17,149,111,0,86.71875,0,1.08E-06,0.015116888,5.62E-05,10,0,10,0.001953125,0.001953125
group_1595,,hypothetical protein,0,17,149,111,0,86.71875,0,1.08E-06,0.015116888,5.62E-05,8,0,8,0.0078125,0.0078125
group_2224,,hypothetical protein,0,17,149,111,0,86.71875,0,1.08E-06,0.015116888,5.62E-05,9,0,9,0.00390625,0.00390625
group_4179,,hypothetical protein,0,17,149,111,0,86.71875,0,1.08E-06,0.015116888,5.62E-05,6,0,6,0.03125,0.03125
group_599,,hypothetical protein,0,17,149,111,0,86.71875,0,1.08E-06,0.015116888,5.62E-05,9,0,9,0.00390625,0.00390625
group_147,,hypothetical protein,101,49,48,79,67.7852349,61.71875,3.392431973,1.14E-06,0.015842997,5.87E-05,13,10,5,0.092285156,0.581054688
group_162,,hypothetical protein,7,32,142,96,4.697986577,75,0.147887324,1.22E-06,0.017027945,6.28E-05,10,3,9,0.021484375,0.34375
group_2985,,hypothetical protein,145,101,4,27,97.31543624,21.09375,9.690594059,1.24E-06,0.017319747,6.37E-05,11,10,2,0.01171875,0.065429687
group_552,,hypothetical protein,19,49,130,79,12.75167785,61.71875,0.235635793,1.28E-06,0.017841142,6.54E-05,11,3,9,0.065429687,0.2265625
group_3616,,hypothetical protein,136,87,13,41,91.27516779,32.03125,4.930150309,1.37E-06,0.019113258,6.93E-05,11,10,2,0.01171875,0.065429687
group_3892,,hypothetical protein,13,41,136,87,8.724832215,67.96875,0.202833572,1.37E-06,0.019113258,6.93E-05,11,2,10,0.01171875,0.065429687
group_527,,hypothetical protein,143,98,6,30,95.97315436,23.4375,7.295918367,1.37E-06,0.019123012,6.93E-05,11,9,3,0.065429687,0.2265625
espB,,ESX-1 secretion-associated protein EspB,147,106,2,22,98.65771812,17.1875,15.25471698,1.60E-06,0.022226881,7.97E-05,11,10,2,0.01171875,0.065429687
group_3961,,hypothetical protein,2,22,147,106,1.342281879,82.8125,0.065553494,1.60E-06,0.022226881,7.97E-05,10,2,9,0.021484375,0.109375
group_934,,hypothetical protein,2,22,147,106,1.342281879,82.8125,0.065553494,1.60E-06,0.022226881,7.97E-05,10,2,9,0.021484375,0.109375
group_726,,putative PPE family protein PPE47/PPE48,54,15,95,113,36.24161074,88.28125,4.282105263,1.82E-06,0.025328447,9.05E-05,9,4,6,0.5078125,1
group_94,,hypothetical protein,140,93,9,35,93.95973154,27.34375,5.854241338,1.86E-06,0.025952231,9.24E-05,10,10,1,0.001953125,0.021484375
group_3883,,hypothetical protein,14,42,135,86,9.395973154,67.1875,0.212345679,1.97E-06,0.027405005,9.72E-05,12,6,9,0.145996094,1
group_777,,hypothetical protein,45,10,104,118,30.20134228,92.1875,5.105769231,2.01E-06,0.028039855,9.91E-05,9,2,8,0.0390625,0.1796875
group_3046,,hypothetical protein,21,0,128,128,14.09395973,100,inf,2.14E-06,0.029873795,0.00010482,4,4,0,0.125,0.125
group_364,,hypothetical protein,21,0,128,128,14.09395973,100,inf,2.14E-06,0.029873795,0.00010482,5,5,0,0.0625,0.0625
group_766,hisG,ATP phosphoribosyltransferase,43,9,106,119,28.8590604,92.96875,5.363731656,2.32E-06,0.032355817,0.000112738,8,5,5,0.7265625,0.7265625
hisG,,ATP phosphoribosyltransferase,106,119,43,9,71.1409396,7.03125,0.186437366,2.32E-06,0.032355817,0.000112738,8,5,5,0.7265625,0.7265625
group_964,,putative PPE family protein PPE40,149,112,0,16,100,12.5,inf,2.53E-06,0.035227749,0.000119164,10,10,0,0.001953125,0.001953125
group_13703,,Putative diacyglycerol O-acyltransferase,0,16,149,112,0,87.5,0,2.53E-06,0.035227749,0.000119164,9,0,9,0.00390625,0.00390625
group_1579,,hypothetical protein,0,16,149,112,0,87.5,0,2.53E-06,0.035227749,0.000119164,9,0,9,0.00390625,0.00390625
group_2160,,hypothetical protein,0,16,149,112,0,87.5,0,2.53E-06,0.035227749,0.000119164,8,0,8,0.0078125,0.0078125
group_4187,,hypothetical protein,0,16,149,112,0,87.5,0,2.53E-06,0.035227749,0.000119164,6,0,6,0.03125,0.03125
group_4291,,hypothetical protein,0,16,149,112,0,87.5,0,2.53E-06,0.035227749,0.000119164,9,0,9,0.00390625,0.00390625
group_948,,hypothetical protein,0,16,149,112,0,87.5,0,2.53E-06,0.035227749,0.000119164,8,0,8,0.0078125,0.0078125
group_966,,putative PPE family protein PPE40,0,16,149,112,0,87.5,0,2.53E-06,0.035227749,0.000119164,10,0,10,0.001953125,0.001953125
group_4114,,hypothetical protein,4,26,145,102,2.684563758,79.6875,0.108222812,2.53E-06,0.035272649,0.000119164,12,2,10,0.038574219,0.038574219
group_3606,,hypothetical protein,129,79,20,49,86.57718121,38.28125,4.000632911,3.01E-06,0.041931624,0.000141184,11,10,4,0.01171875,0.548828125
group_520,,hypothetical protein,31,61,118,67,20.80536913,52.34375,0.288552376,3.32E-06,0.046296653,0.000155358,11,4,10,0.01171875,0.548828125
group_3823,,hypothetical protein,147,107,2,21,98.65771812,16.40625,14.42523364,3.46E-06,0.048215316,0.000160718,8,8,1,0.0078125,0.0703125
group_1107,,IS110 family transposase ISArsp3,2,21,147,107,1.342281879,83.59375,0.069322967,3.46E-06,0.048215316,0.000160718,9,1,9,0.00390625,0.0390625
group_3039,,hypothetical protein,85,106,64,22,57.04697987,17.1875,0.275648585,4.17E-06,0.058172229,0.000193263,8,7,3,0.0703125,0.7265625
group_3843,,hypothetical protein,70,26,79,102,46.97986577,79.6875,3.476144109,4.25E-06,0.059183697,0.000195973,11,7,7,0.548828125,0.548828125
group_123,,PE-PGRS family protein PE_PGRS16,146,105,3,23,97.98657718,17.96875,10.66031746,4.37E-06,0.060941787,0.000200466,10,10,1,0.001953125,0.021484375
group_1075,,hypothetical protein,3,23,146,105,2.013422819,82.03125,0.093805837,4.37E-06,0.060941787,0.000200466,10,3,8,0.109375,0.34375
group_727,,putative PPE family protein PPE47/PPE48,19,0,130,128,12.75167785,100,inf,4.53E-06,0.063188541,0.000206109,2,2,0,0.5,0.5
group_180,,hypothetical protein,148,109,1,19,99.32885906,14.84375,25.79816514,4.54E-06,0.0632754,0.000206109,7,7,1,0.015625,0.125
group_4027,,hypothetical protein,1,19,148,109,0.67114094,85.15625,0.038762447,4.54E-06,0.0632754,0.000206109,10,1,10,0.001953125,0.021484375
group_1038,,putative PPE family protein PPE33,149,113,0,15,100,11.71875,inf,5.86E-06,0.081678498,0.000251318,11,11,0,0.000976563,0.000976563
pstP,,PP2C-family Ser/Thr phosphatase,149,113,0,15,100,11.71875,inf,5.86E-06,0.081678498,0.000251318,8,8,0,0.0078125,0.0078125
group_3030,,hypothetical protein,149,113,0,15,100,11.71875,inf,5.86E-06,0.081678498,0.000251318,7,7,0,0.015625,0.015625
group_11867,,hypothetical protein,0,15,149,113,0,88.28125,0,5.86E-06,0.081678498,0.000251318,9,0,9,0.00390625,0.00390625
group_2161,,hypothetical protein,0,15,149,113,0,88.28125,0,5.86E-06,0.081678498,0.000251318,8,0,8,0.0078125,0.0078125
group_3106,,hypothetical protein,0,15,149,113,0,88.28125,0,5.86E-06,0.081678498,0.000251318,7,0,7,0.015625,0.015625
group_3112,,hypothetical protein,0,15,149,113,0,88.28125,0,5.86E-06,0.081678498,0.000251318,7,0,7,0.015625,0.015625
group_3113,,hypothetical protein,0,15,149,113,0,88.28125,0,5.86E-06,0.081678498,0.000251318,7,0,7,0.015625,0.015625
group_3757,,hypothetical protein,0,15,149,113,0,88.28125,0,5.86E-06,0.081678498,0.000251318,8,0,8,0.0078125,0.0078125
group_4025,,hypothetical protein,0,15,149,113,0,88.28125,0,5.86E-06,0.081678498,0.000251318,8,0,8,0.0078125,0.0078125
group_4068,,hypothetical protein,0,15,149,113,0,88.28125,0,5.86E-06,0.081678498,0.000251318,7,0,7,0.015625,0.015625
group_4069,,hypothetical protein,0,15,149,113,0,88.28125,0,5.86E-06,0.081678498,0.000251318,7,0,7,0.015625,0.015625
group_4070,,hypothetical protein,0,15,149,113,0,88.28125,0,5.86E-06,0.081678498,0.000251318,7,0,7,0.015625,0.015625
group_4071,,hypothetical protein,0,15,149,113,0,88.28125,0,5.86E-06,0.081678498,0.000251318,7,0,7,0.015625,0.015625
group_4072,,hypothetical protein,0,15,149,113,0,88.28125,0,5.86E-06,0.081678498,0.000251318,7,0,7,0.015625,0.015625
group_4100,,hypothetical protein,0,15,149,113,0,88.28125,0,5.86E-06,0.081678498,0.000251318,7,0,7,0.015625,0.015625
group_5619,,hypothetical protein,0,15,149,113,0,88.28125,0,5.86E-06,0.081678498,0.000251318,8,0,8,0.0078125,0.0078125
group_938,,hypothetical protein,0,15,149,113,0,88.28125,0,5.86E-06,0.081678498,0.000251318,9,0,9,0.00390625,0.00390625
group_3858,,hypothetical protein,18,0,131,128,12.08053691,100,inf,9.04E-06,0.125964586,0.000386394,5,5,0,0.0625,0.0625
group_1618,,hypothetical protein,3,22,146,106,2.013422819,82.8125,0.099003736,9.08E-06,0.126596352,0.000387145,10,3,9,0.021484375,0.34375
group_2593,,hypothetical protein,134,87,15,41,89.93288591,32.03125,4.209961686,9.18E-06,0.127877776,0.000389871,10,10,1,0.001953125,0.021484375
group_3076,,hypothetical protein,1,18,148,110,0.67114094,85.9375,0.041291291,9.60E-06,0.133731252,0.000406478,10,1,9,0.021484375,0.021484375
group_3626,,hypothetical protein,84,104,65,24,56.37583893,18.75,0.298224852,1.01E-05,0.140806664,0.000426687,11,9,4,0.065429687,0.548828125
group_4273,,hypothetical protein,30,4,119,124,20.13422819,96.875,7.81512605,1.16E-05,0.162074684,0.000489652,6,5,2,0.21875,0.6875
group_11254,,hypothetical protein,14,39,135,89,9.395973154,69.53125,0.23665717,1.22E-05,0.170227006,0.000512732,12,3,11,0.006347656,0.145996094
pknA,,Serine/threonine-protein kinase PknA,149,114,0,14,100,10.9375,inf,1.35E-05,0.188433727,0.000555852,6,6,0,0.03125,0.03125
group_3809,,hypothetical protein,149,114,0,14,100,10.9375,inf,1.35E-05,0.188433727,0.000555852,7,7,0,0.015625,0.015625
group_1606,,hypothetical protein,0,14,149,114,0,89.0625,0,1.35E-05,0.188433727,0.000555852,7,0,7,0.015625,0.015625
group_2007,dxs_1,1-deoxy-D-xylulose-5-phosphate synthase,0,14,149,114,0,89.0625,0,1.35E-05,0.188433727,0.000555852,8,0,8,0.0078125,0.0078125
group_2076,ilvX,Putative acetolactate synthase large subunit IlvX,0,14,149,114,0,89.0625,0,1.35E-05,0.188433727,0.000555852,8,0,8,0.0078125,0.0078125
group_3126,,hypothetical protein,0,14,149,114,0,89.0625,0,1.35E-05,0.188433727,0.000555852,5,0,5,0.0625,0.0625
group_4145,,Antitoxin VapB25,0,14,149,114,0,89.0625,0,1.35E-05,0.188433727,0.000555852,5,0,5,0.0625,0.0625
group_1114,devS,Oxygen sensor histidine kinase response regulator DevS/DosS,2,19,147,109,1.342281879,85.15625,0.078052274,1.59E-05,0.221307944,0.000648997,10,2,10,0.001953125,0.109375
group_878,espB,ESX-1 secretion-associated protein EspB,2,19,147,109,1.342281879,85.15625,0.078052274,1.59E-05,0.221307944,0.000648997,11,2,10,0.01171875,0.065429687
thcA,,hypothetical protein,15,40,134,88,10.06711409,68.75,0.246268657,1.64E-05,0.229199814,0.000670175,13,2,13,0.000244141,0.022460938
group_11474,,putative protein,1,17,148,111,0.67114094,86.71875,0.044117647,2.02E-05,0.281901105,0.000812395,10,1,10,0.001953125,0.021484375
group_3077,,hypothetical protein,1,17,148,111,0.67114094,86.71875,0.044117647,2.02E-05,0.281901105,0.000812395,10,1,9,0.021484375,0.021484375
group_4048,,hypothetical protein,1,17,148,111,0.67114094,86.71875,0.044117647,2.02E-05,0.281901105,0.000812395,10,1,10,0.001953125,0.021484375
group_4074,,hypothetical protein,1,17,148,111,0.67114094,86.71875,0.044117647,2.02E-05,0.281901105,0.000812395,9,1,8,0.0390625,0.0390625
group_747,,Putative diacyglycerol O-acyltransferase,1,17,148,111,0.67114094,86.71875,0.044117647,2.02E-05,0.281901105,0.000812395,10,1,10,0.001953125,0.021484375
group_321,,PPE family protein PPE34,145,105,4,23,97.31543624,17.96875,7.94047619,2.05E-05,0.286056383,0.000822001,12,11,2,0.006347656,0.038574219
group_82,,hypothetical protein,51,77,98,51,34.22818792,39.84375,0.344685926,2.14E-05,0.29805535,0.000853297,13,7,7,1,1
sthA_1,,putative soluble pyridine nucleotide transhydrogenase,144,103,5,25,96.6442953,19.53125,6.990291262,2.16E-05,0.300360544,0.000853297,10,8,5,0.109375,1
group_4061,,hypothetical protein,5,25,144,103,3.355704698,80.46875,0.143055556,2.16E-05,0.300360544,0.000853297,10,5,8,0.109375,1
group_666,sthA_1,putative soluble pyridine nucleotide transhydrogenase,5,25,144,103,3.355704698,80.46875,0.143055556,2.16E-05,0.300360544,0.000853297,10,5,8,0.109375,1
group_3985,,hypothetical protein,6,26,143,102,4.026845638,79.6875,0.164604626,2.17E-05,0.302934457,0.000856171,10,1,10,0.001953125,0.021484375
dnaN,,Beta sliding clamp,118,123,31,5,79.19463087,3.90625,0.154733805,2.17E-05,0.303084515,0.000856171,8,3,6,0.2890625,0.7265625
group_11823,,hypothetical protein,149,115,0,13,100,10.15625,inf,3.10E-05,0.432578296,0.001194968,7,7,0,0.015625,0.015625
group_14314,,hypothetical protein,149,115,0,13,100,10.15625,inf,3.10E-05,0.432578296,0.001194968,8,8,0,0.0078125,0.0078125
group_2445,,hypothetical protein,149,115,0,13,100,10.15625,inf,3.10E-05,0.432578296,0.001194968,7,7,0,0.015625,0.015625
group_3812,,hypothetical protein,149,115,0,13,100,10.15625,inf,3.10E-05,0.432578296,0.001194968,7,7,0,0.015625,0.015625
group_907,,putative protein,149,115,0,13,100,10.15625,inf,3.10E-05,0.432578296,0.001194968,9,9,0,0.00390625,0.00390625
